
#size        Runtime1          Runtime2100            18700            144300
100            26300            10600
200            71400            137900
300            97900            34000
400            229000            41100
500            95800            37900
600            83000            38000
700            91500            43000
800            53000            29700
900            121800            81800
1000            79500            38300
1100            174000            73800
1200            178900            72200
1300            150500            77400
1400            170700            83600
1500            162800            89100
1600            1575000            204700
1700            208800            101700
1800            712300            108000
1900            218200            114700
2000            218500            119000
2100            229200            125500
2200            242100            132300
2300            226100            138000
2400            245800            143400
2500            767000            141600
2600            258900            146800
2700            266600            151900
2800            272200            544700
2900            173000            57900
3000            151900            47900
3100            153300            49900
3200            167500            51400
3300            189100            58700
3400            175900            56700
3500            169000            58900
3600            175700            57800
3700            176600            38600
3800            103200            50100
3900            128400            39600
4000            130600            52200
4100            145200            41800
4200            129500            42700
4300            120400            56200
4400            220700            69200
4500            218700            70700
4600            216800            74700
4700            361400            77100
4800            260200            80500
4900            250700            87600
5000            206000            64500
